inventoryid,store,city,brand,description,size,onhand,price,startdate
0,18,New Paul,Combs Group,Charge Product,Small,192,43.68,2024-10-17
1,36,Robertberg,"Ruiz, Rodriguez and Lane",Still Product,Large,0,22.96,2024-05-02
2,35,East Sarahview,Rowe-Lewis,Economy Product,Small,29,56.87,2024-08-05
3,34,Lake Juliehaven,Obrien-Thompson,Heart Product,Small,49,73.05,2024-09-08
4,19,Robertfort,Mccullough Group,Television Product,Large,93,95.73,2024-12-02
5,13,Andrewberg,"Harrell, Casey and Bates",Trip Product,Large,87,72.68,2024-06-22
6,2,Brownmouth,James and Sons,Miss Product,Small,0,54.02,2024-04-26
7,36,South Patricia,James and Sons,Miss Product,Small,93,54.02,2025-03-29
8,46,South Williamfort,"George, Macdonald and Harper",Pm Product,Medium,0,12.95,2024-12-15
9,9,Jeffreyborough,Sullivan-Choi,Door Product,Small,48,16.48,2024-12-06
10,5,Ingramton,Bailey PLC,Air Product,Small,155,34.06,2024-08-30
11,43,Trujilloville,Hinton LLC,Window Product,Large,0,55.62,2024-11-22
12,19,New Jefferyland,Snyder-Kelly,Institution Product,Large,0,53.07,2024-06-25
13,42,Chaneyberg,Brennan Group,As Product,Small,39,7.06,2024-04-16
14,5,Savannahborough,Russell and Sons,Job Product,Small,0,70.79,2024-06-11
15,1,New Lori,"Briggs, Morris and Weber",This Product,Large,93,55.3,2024-11-09
16,22,Dianaport,Perkins-Roberts,Eye Product,Medium,121,56.67,2024-08-03
17,17,Ballstad,Mcpherson and Sons,Lose Product,Large,18,36.14,2025-03-12
18,45,Port Lauraberg,Rodriguez-Palmer,Pull Product,Medium,127,31.01,2024-04-13
19,49,Howellhaven,"Briggs, Morris and Weber",Opportunity Product,Large,118,96.94,2025-01-20
20,12,Jacobville,Hunt-Tucker,Wall Product,Large,38,83.57,2024-12-06
21,46,Alexandrastad,Archer Group,Center Product,Small,44,98.0,2025-03-01
22,14,North Shelby,Mosley PLC,Buy Product,Medium,117,58.09,2024-11-20
23,44,Robertsview,Schmidt-Mathews,Hospital Product,Medium,96,81.17,2024-06-17
24,16,Markton,"Bush, Reyes and Fox",There Product,Small,0,17.12,2024-11-18
25,42,Susanville,Williams-Mcintosh,Over Product,Small,163,69.84,2025-03-06
26,49,Brittanyberg,Davis-Russell,Water Product,Large,237,29.25,2024-09-06
27,42,Mooreside,Vasquez-Velasquez,Capital Product,Small,0,18.49,2025-02-24
28,2,Cummingshaven,Pittman-Lucas,Skill Product,Large,204,44.73,2024-06-01
29,5,Denisehaven,"Shannon, Lee and Noble",Field Product,Medium,121,51.05,2025-03-31
30,19,South Latashashire,Kirk-Perry,Air Product,Small,224,79.41,2024-12-07
31,33,Diazfort,"Hamilton, Rivera and Kelley",Expert Product,Medium,0,69.64,2025-01-03
32,49,Mitchelltown,Mahoney and Sons,Able Product,Small,224,34.48,2025-03-24
33,30,West Tyler,Howard Inc,Tough Product,Small,160,96.77,2025-01-30
34,13,West Stevetown,Brown Inc,Benefit Product,Large,62,85.69,2025-02-06
35,11,Mendezbury,Adams and Sons,Wide Product,Large,118,47.33,2025-02-02
36,25,Stevenborough,Pittman-Lucas,Box Product,Small,183,71.75,2024-07-01
37,5,Kendraside,Gentry-Gray,Expect Product,Medium,139,45.71,2025-03-23
38,35,Port Stevenshire,Walter PLC,Could Product,Large,21,14.31,2024-11-07
39,13,West Brandonport,Bell Ltd,Address Product,Medium,258,94.75,2024-10-14
40,2,South Erik,Brown-Nelson,Kitchen Product,Small,149,5.63,2024-04-29
41,22,Port Jessica,Quinn-Tran,Stay Product,Medium,105,99.22,2024-09-04
42,2,East Kyle,"Dalton, Sanders and Cantrell",Article Product,Medium,0,11.67,2024-12-09
43,20,North Aliciachester,"Shannon, Lee and Noble",Field Product,Medium,86,51.05,2025-02-16
44,49,South William,Archer Group,South Product,Medium,79,6.45,2024-12-25
45,49,Port Lori,"Hernandez, Morrison and Villanueva",Certain Product,Small,17,69.91,2024-07-05
46,36,Cruzfort,Barrett-Roth,Cover Product,Large,46,47.43,2024-09-13
47,46,Lake Robertburgh,Long Ltd,Have Product,Medium,231,26.72,2024-04-17
48,10,Tracymouth,Williams-Mcintosh,Yet Product,Small,15,78.22,2024-06-03
49,8,Autumntown,"Hancock, Peters and Holmes",Old Product,Large,215,19.18,2025-02-21
50,27,Brownfort,Hansen Inc,Note Product,Small,116,24.63,2024-12-07
51,14,Port Rachelville,Vasquez-Velasquez,Capital Product,Small,0,18.49,2024-08-07
52,40,Christinashire,Salazar-Graves,Believe Product,Small,59,41.12,2024-05-23
53,21,Allenborough,Adams and Sons,Song Product,Medium,0,38.21,2024-09-17
54,28,Vanessamouth,Davis-Vasquez,Although Product,Medium,205,46.97,2025-04-04
55,13,East Shannon,Russell and Sons,Issue Product,Large,73,93.88,2024-10-27
56,33,Garyburgh,Rowe-Lewis,House Product,Medium,82,9.47,2024-04-06
57,4,South Victorton,"Hamilton, Rivera and Kelley",Case Product,Medium,118,18.71,2024-09-25
58,44,Andrewfurt,Perez-Johnson,Imagine Product,Large,182,98.76,2024-07-21
59,28,Peggybury,Bailey PLC,Even Product,Small,0,46.2,2024-10-05
60,33,Markton,Snyder-Kelly,Manage Product,Small,16,32.83,2024-12-21
61,46,South Michael,Russell and Sons,Physical Product,Large,98,73.26,2025-02-21
62,5,Port Suzanneview,Zamora Ltd,Voice Product,Small,152,32.95,2024-07-23
63,47,East Valerieborough,"Fitzpatrick, Davis and Warren",Television Product,Medium,160,79.02,2024-09-28
64,31,Ramirezmouth,Brown-Nelson,Kitchen Product,Small,112,5.63,2024-10-31
65,22,South Lisa,Pittman-Lucas,Skill Product,Large,9,44.73,2024-06-08
66,21,Charlotteton,Davis-Russell,Probably Product,Medium,113,20.6,2025-03-01
67,10,Wheelermouth,Salazar-Graves,Say Product,Large,44,16.39,2024-07-11
68,44,Jamesland,Burns and Sons,Entire Product,Small,126,90.0,2025-01-18
69,8,South Joelhaven,"Vasquez, Morris and Ramos",Nation Product,Small,227,49.57,2025-03-02
70,43,Port Rebeccashire,"Phelps, Thompson and Chandler",Eye Product,Medium,78,71.62,2024-04-22
71,31,Samanthaview,Walker Inc,Instead Product,Large,83,91.59,2024-06-29
72,40,East Caseyhaven,Williams-White,Technology Product,Medium,0,95.62,2024-04-30
73,3,New Michael,"Massey, Lewis and Walter",Already Product,Medium,200,91.99,2024-09-16
74,17,South Tiffany,Daniels PLC,Bit Product,Small,56,71.81,2024-12-26
75,25,Derrickville,Sullivan-Choi,Mouth Product,Small,0,20.87,2024-10-09
76,43,Shawnton,Edwards LLC,Finish Product,Medium,96,28.24,2025-02-11
77,11,Amyville,Morales-Knox,Face Product,Small,150,81.34,2024-06-16
78,42,Davishaven,Long and Sons,Central Product,Large,152,51.79,2024-07-23
79,45,Lake Katrina,Quinn-Tran,Stay Product,Medium,40,99.22,2025-03-25
80,22,Lisashire,Patterson Inc,Add Product,Large,252,14.57,2024-08-30
81,41,Jeremystad,Perkins-Roberts,Couple Product,Small,178,93.12,2024-08-03
82,16,Hortonhaven,"Johnson, Moses and Johnson",Among Product,Medium,109,96.83,2025-02-07
83,41,Wendyton,Martinez-Giles,Point Product,Small,76,37.44,2025-04-03
84,38,Curtisborough,Howard Inc,Tonight Product,Large,148,78.08,2025-02-09
85,22,Staceyside,Fitzpatrick-Sanders,Current Product,Large,89,31.96,2025-03-24
86,37,South Laura,Long Ltd,Area Product,Large,117,10.76,2025-01-08
87,4,Janicebury,"Sanders, Hill and Bryant",Address Product,Small,30,7.49,2024-11-03
88,29,North Darrenborough,Reynolds LLC,Result Product,Large,0,21.8,2024-11-19
89,18,Johnsonborough,West-Hernandez,Cup Product,Medium,141,97.48,2025-01-29
90,19,Keithshire,Garcia-Ramirez,Expert Product,Medium,162,80.29,2024-12-26
91,31,East Terri,"Williamson, Holden and Sims",Better Product,Large,65,90.49,2024-09-11
92,47,Farleyborough,Roy Group,Beat Product,Medium,78,64.9,2024-05-17
93,20,New Ginaton,Williams-Mcintosh,At Product,Medium,146,52.67,2024-06-12
94,50,East Trevormouth,Dunlap Ltd,Family Product,Medium,56,30.36,2025-03-27
95,5,North Scottshire,"George, Macdonald and Harper",Develop Product,Large,39,82.0,2024-07-01
96,23,Sandraborough,"Powell, Mcdaniel and Thomas",International Product,Small,150,55.59,2024-06-19
97,27,Harpermouth,"Fitzpatrick, Davis and Warren",Everybody Product,Medium,165,18.38,2025-02-02
98,9,Whiteview,Long-Bowman,Major Product,Small,103,56.64,2024-08-13
99,9,Sandersstad,Archer Group,South Product,Medium,123,6.45,2025-01-06
100,12,Port Josephborough,"Horne, Patton and Martin",Old Product,Large,0,58.22,2024-05-22
101,42,North Jameston,Kirk-Perry,Reason Product,Small,204,44.15,2024-08-17
102,34,West Joshua,"Turner, Armstrong and Fernandez",Year Product,Medium,0,9.64,2024-09-19
