inventoryid,store,city,brand,description,size,onhand,price,startdate
0,48,West Tina,Davis-Vasquez,Production Product,Medium,112,73.26,2025-01-06
1,48,Foleystad,"Kelly, Smith and Aguilar",Help Product,Small,46,17.03,2024-12-24
2,32,Hamptonstad,"Campbell, Black and Smith",Approach Product,Medium,92,58.99,2024-06-27
3,35,Julieview,"Walker, Maddox and Clayton",Care Product,Large,17,11.82,2024-07-21
4,18,Port Annettefurt,"Hamilton, Rivera and Kelley",This Product,Medium,46,36.82,2025-01-31
5,47,Johnsonburgh,"Ruiz, Rodriguez and Lane",Because Product,Medium,56,41.68,2025-02-20
6,2,Port Wayneview,"Dunn, Martinez and Brandt",Standard Product,Small,176,63.99,2024-10-24
7,11,East Emily,Brown-Nelson,Though Product,Small,0,63.68,2025-01-21
8,33,Johnsonside,Burns and Sons,Entire Product,Small,244,90.0,2024-07-03
9,12,South Sydney,Hinton LLC,Network Product,Large,186,10.86,2024-12-13
10,28,West Ralphshire,Williams LLC,Our Product,Medium,149,65.36,2024-10-03
11,14,New Kevinmouth,Thomas and Sons,Force Product,Small,51,20.17,2025-01-02
12,16,Kimberlyhaven,Davis-Vasquez,Level Product,Medium,37,54.33,2024-06-02
13,12,East Alexisshire,Davis-Russell,Current Product,Medium,140,17.78,2025-03-01
14,11,Port Robertland,"Hamilton, Rivera and Kelley",This Product,Medium,28,36.82,2024-05-31
15,16,Kingtown,Rowe-Lewis,Become Product,Small,63,91.65,2024-07-17
16,45,Port Tammy,"Kelly, Smith and Aguilar",Similar Product,Medium,0,94.55,2024-06-13
17,35,Gibsonhaven,Mcpherson and Sons,Forget Product,Medium,21,73.78,2024-04-30
18,36,Whiteside,"Dunn, Martinez and Brandt",Full Product,Medium,26,57.9,2025-01-20
19,3,New Jane,Brown Inc,Benefit Product,Large,0,85.69,2024-11-06
20,5,Port Scott,Williams-White,Area Product,Medium,182,17.7,2024-11-18
21,9,Millerchester,Davis-Russell,Truth Product,Small,59,89.36,2024-10-08
22,47,Markbury,Thomas and Sons,Effect Product,Large,135,25.74,2025-01-25
23,21,Gregoryton,"Wright, Winters and Dominguez",Stop Product,Medium,44,51.31,2024-07-02
24,5,South Lori,"Delgado, Green and Wade",Amount Product,Small,0,32.17,2025-03-10
25,1,Cookberg,Michael-Jefferson,Administration Product,Small,153,79.2,2024-11-15
26,6,North Noah,"Hernandez, Morrison and Villanueva",Watch Product,Large,0,12.01,2025-03-20
27,18,North Jacob,Brennan Group,Certain Product,Large,135,74.01,2024-11-22
28,35,Port Vickie,Day and Sons,Control Product,Small,242,31.86,2024-12-02
29,39,Port Charles,Gentry-Gray,Nearly Product,Small,152,76.72,2024-12-24
30,49,Jamieshire,Perez-Johnson,Reach Product,Large,102,71.44,2025-02-23
31,24,Moorefort,Archer Group,Center Product,Small,115,98.0,2024-10-01
32,12,Jamesberg,"Neal, Frey and Ferguson",Financial Product,Small,27,83.03,2025-03-01
33,11,New Angela,Snyder-Kelly,Institution Product,Large,0,53.07,2024-04-30
34,11,Lake Tammyton,James and Sons,Impact Product,Large,80,85.46,2024-04-06
35,20,North Danielchester,Brown-Nelson,Down Product,Small,148,73.62,2025-02-25
36,20,Melissafurt,"Fitzpatrick, Davis and Warren",Everybody Product,Medium,126,18.38,2025-01-17
37,43,Blairshire,Bell Ltd,Movement Product,Small,98,73.51,2024-07-09
38,21,North Johnshire,Williams-White,Area Product,Medium,54,17.7,2024-09-18
39,31,Brendaton,Reynolds LLC,Break Product,Small,0,46.33,2024-06-12
40,35,Parkermouth,Sullivan-Choi,Mouth Product,Small,0,20.87,2025-01-14
41,3,Port Jenniferberg,Thomas and Sons,Force Product,Small,105,20.17,2024-05-10
42,19,Townsendshire,Wright Group,Skin Product,Small,186,75.4,2024-06-14
43,31,West Heatherville,Salazar-Graves,Decade Product,Medium,0,29.28,2024-04-13
44,34,North Maria,Rogers-Sanchez,Even Product,Large,0,97.21,2024-11-07
45,18,Sarahmouth,Reynolds-Hill,When Product,Small,172,6.37,2025-02-04
46,29,Aprilmouth,"Kent, Arias and Smith",Sort Product,Large,0,62.51,2024-09-11
47,44,Wilkersonshire,Johnson PLC,True Product,Medium,57,25.85,2024-04-14
48,36,New Danielview,Hinton LLC,Example Product,Large,62,96.29,2024-07-01
49,28,New Robert,Thomas LLC,Traditional Product,Medium,184,20.09,2025-03-13
50,15,West Pamelaland,Patterson Inc,Key Product,Large,108,9.4,2024-08-09
51,12,New Tammychester,Austin PLC,Edge Product,Small,115,40.3,2024-06-13
