ponumber,invoice_quantity,invoice_dollars,freight,risk_score
85332,1,3.71,55.98,0.9655244035274315
12242,1,44.03,28.86,0.953820854365578
29155,1,4.41,39.27,0.9413140002180008
20495,1,46.92,52.63,0.9411756372589307
98054,1,11.12,42.62,0.9364848014190457
83526,2,16.48,53.97,0.9271858774007169
87351,1,30.76,31.28,0.9239327479386727
92133,1,47.84,51.0,0.9178738180215885
80023,1,78.85,52.47,0.912529653781794
47824,1,8.24,49.57,0.9111460670371976
44389,1,43.34,23.7,0.9108363103728209
26823,1,76.79,24.88,0.9098286751972829
49428,1,79.34,51.63,0.9085918026131923
24240,1,20.58,82.78,0.9071238887811466
30676,1,30.29,55.39,0.9045470723837421
54562,1,11.07,33.92,0.9034468738807612
73399,1,50.23,29.93,0.9030600349896443
27032,1,66.19,34.17,0.9021054345440874
62255,1,23.54,40.77,0.901830533222254
62468,1,77.53,29.78,0.9018226072130628
59300,1,22.79,62.27,0.9003076341416313
63697,1,62.78,27.13,0.8983245506740531
84825,1,37.42,23.53,0.8971334005977961
92895,1,39.81,44.28,0.8967263204311485
22568,1,28.97,45.68,0.8962277328849216
18122,1,66.92,41.61,0.8957382018456128
88270,1,39.81,43.53,0.8957149356117285
16190,1,70.45,39.75,0.8946905792043087
63434,1,35.71,58.01,0.8934347439519918
91848,1,77.42,35.78,0.8931992128263374
36384,1,37.12,81.64,0.8918972389530777
14163,1,64.87,41.34,0.8918691573821846
55843,1,73.79,69.32,0.8898835002093224
93880,1,46.74,58.19,0.8898032608303927
43223,1,43.31,53.52,0.8897350596162203
83185,1,40.47,36.43,0.8894753474122004
51956,1,55.93,33.51,0.8874944799491528
58852,1,43.15,42.51,0.8870042358682294
93880,1,49.55,22.61,0.8860821597282678
72994,1,3.99,81.53,0.8853313100336896
51071,1,42.29,41.03,0.8851859886259028
25442,1,57.66,36.9,0.8847445543921728
20374,1,78.84,32.4,0.8829566254616781
56534,1,5.87,67.46,0.8800375045063222
84159,1,60.71,56.08,0.8799367663269834
25451,1,66.6,33.94,0.8783779466298195
90451,1,68.7,37.51,0.8782467612270276
60168,1,63.1,40.73,0.8781928322112876
91202,1,77.52,63.71,0.8762479085391232
75931,1,4.24,56.63,0.8761203937338032
46473,1,19.44,83.97,0.8760834705229108
60103,1,33.71,29.44,0.8732007395575043
56898,1,70.4,55.75,0.8728105614618369
64984,1,15.03,16.48,0.8717883027426855
79085,1,60.89,61.84,0.8715987010439781
72774,1,74.95,39.63,0.8712758217697486
35087,1,59.26,60.35,0.8703444143805298
33142,4,107.76,27.07,0.8691105664026809
44965,1,8.52,72.86,0.867578340494324
19689,1,20.97,68.21,0.86690791323853
13462,1,39.6,5.49,0.8656107217863418
68530,1,18.34,25.3,0.865095170989362
14792,1,5.59,31.53,0.8648536159295834
49268,1,11.13,73.66,0.8645589602637711
59215,2,32.14,36.06,0.8641320626602647
73644,2,47.88,53.73,0.8640962681827568
95899,1,26.79,22.21,0.8639062322674315
48507,1,39.81,29.25,0.8637425676982834
17954,1,19.27,31.57,0.863638924729458
26748,1,22.45,25.36,0.8635286107722164
62180,2,127.78,75.98,0.8632255984069517
58174,1,11.12,34.71,0.8625439624670304
22799,1,26.01,94.52,0.8624050627608526
62656,1,14.13,73.69,0.8622715862872559
18751,1,17.82,47.87,0.8606438699548032
73678,1,4.84,33.64,0.8605181193666958
30466,1,10.68,60.21,0.8603879568196551
80665,1,15.34,47.25,0.8598017596301128
16129,2,42.16,46.02,0.8595168070609813
78232,1,10.8,55.2,0.8583145393967786
12014,1,13.9,32.02,0.8579830916923479
38441,1,25.0,31.34,0.8577033306868794
62783,1,33.79,22.9,0.8575508478487437
76817,1,27.9,36.69,0.8573958574484057
18578,2,47.22,33.05,0.8573881843568893
80489,1,20.4,45.93,0.857300739949453
33446,1,17.28,36.25,0.8564426571290511
51668,5,90.7,76.99,0.8563409079618074
30428,1,22.37,32.93,0.856218530398753
21631,1,27.8,49.28,0.8559597812472923
70386,1,31.69,24.38,0.8557954473346758
48709,1,33.79,21.91,0.8557339498663338
63079,1,23.62,41.99,0.8555539812883804
67272,1,19.66,68.05,0.8549877769460233
24438,1,18.69,65.0,0.8549028391824902
94370,1,19.91,33.43,0.8546144764842593
24817,1,39.14,55.51,0.8545302006840708
24571,2,17.4,50.17,0.8545045197347545
16849,6,271.08,19.02,0.8539419698408963
57414,1,22.77,35.64,0.8532941615254969
29334,2,18.98,24.65,0.8532523956078127
19443,4,80.48,25.68,0.8532103485780232
36616,1,52.03,69.34,0.8525412768695529
85797,1,19.24,69.3,0.8523470873110228
50806,1,5.85,54.75,0.8520543674549503
58291,1,19.44,53.05,0.8519077803798714
26617,1,32.47,33.28,0.8517391813912286
59862,1,23.46,34.16,0.8516637223754011
60087,1,18.04,58.94,0.8505245749245399
24870,1,34.87,38.11,0.8502431000196904
71456,2,42.6,36.65,0.8498458813233453
79174,1,32.25,25.95,0.8497539390917366
59496,1,37.56,69.57,0.849619228976942
21225,1,40.2,31.64,0.8494635510749476
69641,1,19.46,44.41,0.8493032909330773
61040,1,38.42,31.19,0.848657853143429
94615,2,25.18,21.03,0.8483791483485834
87806,2,11.7,78.48,0.8482303188141431
59388,4,83.76,80.99,0.8481382654138165
19983,1,60.58,50.54,0.8480750437136975
94074,1,7.63,36.21,0.8479293060855084
68273,1,37.39,47.66,0.8478853008853747
21056,1,34.87,63.88,0.8476328309788213
61134,2,20.5,54.31,0.8473257357796357
59313,1,43.33,25.33,0.8470324533518365
40172,1,13.85,51.5,0.8467791119999166
49538,4,97.64,28.26,0.8466434273374475
97956,2,98.8,46.34,0.8464001045081841
52788,2,93.48,81.54,0.8463624338907121
24367,1,37.71,42.54,0.8461389030354877
38169,1,29.36,35.51,0.8461176762342199
34185,8,284.56,20.69,0.8459776116868852
38207,1,35.75,49.32,0.8458696556992182
38959,1,24.74,47.12,0.8457393593979092
96051,1,37.23,15.65,0.8456364789417163
92229,1,40.75,29.77,0.8452975438007233
91085,1,53.41,22.72,0.8447596692513997
61798,1,27.84,65.03,0.8446223296720641
12256,1,33.56,34.06,0.8442996726723364
60006,1,27.48,34.66,0.8441156505890526
48939,1,32.34,40.74,0.8439093992775912
37155,1,41.15,39.22,0.8437588208638875
70533,2,133.82,16.06,0.8437073275601668
68838,1,46.36,23.14,0.8434323803689747
52591,2,51.76,77.34,0.8433188038209548
61358,1,54.65,26.13,0.8432836920181368
70341,5,199.0,67.48,0.8431397867078644
18910,1,40.07,45.41,0.8429980575661629
86319,4,69.36,46.08,0.8427574734595217
85164,1,20.65,41.01,0.8427303602434995
67373,1,24.54,27.32,0.8425398710662647
33557,1,35.14,49.38,0.842535488604656
36478,1,45.18,17.56,0.8421627070993554
55585,1,65.57,30.44,0.8421051761382282
44297,2,11.7,75.18,0.8420891011128735
67152,1,44.26,38.2,0.841931226202713
40348,1,52.9,42.25,0.8418578535770284
11803,1,33.54,33.57,0.8417633186774562
33234,1,40.47,29.85,0.8416488049684019
67727,2,49.8,76.78,0.841443817487454
51160,1,35.71,40.62,0.8410728415906569
89828,1,28.2,47.54,0.8409154704896104
58788,1,50.76,45.79,0.8408018602199238
57148,1,18.34,42.64,0.8405200528787604
50246,1,43.12,40.51,0.8403103917253973
91310,2,106.34,81.4,0.8402253813796691
69790,1,56.44,32.11,0.840128939189814
87471,1,21.94,38.93,0.840001708008984
99927,1,44.82,45.52,0.8398049552636451
74041,1,44.36,36.43,0.839717295109363
63697,2,38.4,43.89,0.8396933886421483
59762,1,52.03,33.5,0.8394991992234848
93265,1,46.68,53.03,0.8394771130177436
75399,2,16.7,38.72,0.8392008584997768
42459,1,71.69,37.8,0.8388695650528655
42217,6,125.64,86.69,0.8388329903847704
49026,1,23.46,45.94,0.8386510405443045
31071,1,40.24,39.31,0.8384478165100654
13992,1,37.94,55.17,0.8383990881871239
41845,1,69.62,31.24,0.8381528211369978
14951,1,47.76,19.25,0.8377635698114081
55693,1,38.31,47.6,0.8371093473114118
12381,1,61.17,75.46,0.836909864922501
78875,1,77.21,17.2,0.8368360833937694
89027,2,33.68,26.68,0.8366647891976511
74858,1,54.24,26.66,0.8365181944610027
98538,1,35.08,52.01,0.836374254811839
82654,1,56.27,77.8,0.8362953779892612
29997,1,50.38,33.58,0.8362611161193397
56680,1,40.24,50.17,0.8361071996815462
52463,2,123.4,42.39,0.8359548686831656
38117,1,56.77,22.57,0.8357517847665266
10398,2,98.52,21.16,0.835643205195483
51849,1,46.42,70.71,0.8355527693505034
28127,1,37.78,50.19,0.8354927526799633
21144,1,43.98,35.59,0.8354503159595156
45917,1,36.83,47.68,0.8351808647174888
34666,5,70.55,33.4,0.8350642298540932
72772,1,27.48,41.7,0.8350260210475926
37563,1,48.31,24.08,0.8347983102503649
12909,1,68.38,64.54,0.8347955143827844
80730,1,69.89,31.48,0.8345371865054322
66922,1,77.68,31.87,0.834520674062642
31328,2,100.74,28.46,0.8344301077622813
64793,1,33.79,47.41,0.8341290332968526
89436,1,45.28,58.53,0.8339901565088995
81022,1,77.52,46.52,0.8339031280406345
72651,1,40.29,41.58,0.8336526053792119
27081,1,39.82,37.2,0.833641497426751
30451,1,73.06,60.6,0.8336282460130691
99134,1,44.55,39.74,0.8333917615106163
59660,1,60.71,40.48,0.83312414166603
45463,1,56.6,32.74,0.8329753185972737
39068,2,9.32,30.93,0.8329538134371968
73190,2,27.46,74.16,0.8329414550585466
44421,2,24.94,81.13,0.8327649514232438
91800,2,7.34,42.9,0.8326441267116161
30577,1,47.23,37.52,0.8323784318102814
28230,97,7635.84,144.99,0.8323196271975
78369,2,76.38,40.52,0.8322096940308155
22906,1,76.79,25.04,0.8321439965389696
28096,1,23.94,40.09,0.8320387625442464
44071,1,39.6,27.27,0.8320032125941683
50565,1,43.27,33.25,0.8318225155814873
72426,2,86.62,33.68,0.8316921861145713
25325,1,71.5,38.72,0.8316178240508929
22255,1,68.68,46.57,0.8314339719395941
69802,10,159.4,36.01,0.8313045183619869
10398,2,29.36,44.7,0.8311044584727401
20351,2,9.32,35.87,0.8310584329150581
77743,2,80.4,44.92,0.8308457736457407
51564,1,69.74,69.33,0.8306314655465621
98381,1,68.36,30.81,0.8305184495587193
91780,1,48.15,53.87,0.830469948276587
13804,2,75.04,56.52,0.8303309587568513
85972,1,49.42,38.76,0.8301651173180169
31738,1,50.59,35.44,0.8298794936903866
18762,1,58.97,39.95,0.8298664537987462
54329,4,59.04,60.54,0.8294110689998426
74978,1,76.76,59.22,0.8291233107500984
98245,7,181.16,81.45,0.8291115554740802
85272,2,43.58,49.67,0.8289074012795157
36958,3,49.26,17.98,0.828558752250398
99906,2,139.88,59.66,0.8285102751208944
33967,2,97.76,28.29,0.8284980668740578
55976,7,184.73,51.02,0.8284507492543894
94212,2,72.46,38.17,0.8283874336119912
78059,2,112.8,42.11,0.828324571483064
97519,1,66.44,39.44,0.8280641720821242
75828,1,60.28,65.52,0.8278123137839052
86695,2,146.28,26.1,0.8277534839955223
62041,7,374.08,30.43,0.8273375856043498
81050,1,52.72,55.63,0.8273257714062515
12637,2,15.26,33.57,0.8272133342138186
90985,11,615.78,27.77,0.82711767264487
16028,98,7058.94,171.06,0.827113796952206
24425,1,49.33,52.59,0.8270680409326343
74108,7,28.07,29.04,0.8269304578697512
23897,1,73.16,49.03,0.8266719855350506
99052,3,11.94,30.45,0.8266245952453402
94414,2,14.48,39.48,0.8265447147910463
89161,1,60.28,45.36,0.826400325112334
21598,1,75.07,40.04,0.8254097310149338
30965,2,68.74,31.44,0.8252495989305055
59695,2,121.16,27.36,0.8249390768671852
86943,1,70.06,33.01,0.8248901460145516
61790,1,66.7,45.47,0.8247255248770552
56378,2,28.38,30.42,0.8245506969373969
